From "An accurate parameterization for scattering factors, electron densities and electrostatic potentials for neutral atoms that obey all physical constraints", Lobato I. and van Dyck D., Acta Cryst. 70:636-649, 2014
Z,a1,a2,a3,a4,a5,b1,b2,b3,b4,b5
1,0.00647384848835291,-0.49019257678022900,0.57328416039087600,-0.37940330148399000,0.55442647477407900,2.78519885379148000,2.77620428330644000,2.77538591050625000,2.76759302867258000,2.76511897642927000
2,3.05745116099835000,-62.00447791273250000,64.00555370846140000,-5.00132578542780000,0.15179882870052600,1.08967248726078000,0.93983879814312100,0.92528903438626500,0.82294749870865000,0.57739311067540200
3,3.92622272886147000,-4.54861962639998000,2.19335312878658000,0.06994512650339650,0.00209864224851937,8.14276013517280000,4.98941077007855000,4.14428999239410000,0.40192231506568000,0.15647903471982300
4,3.39824970557054000,-1.90866886095696000,0.03907021175392270,-0.01116310102107140,0.00946204465357523,4.44270178622409000,3.32451542526423000,0.18977288034821400,0.08719186146446030,0.08278090600413400
5,1.47279248639329000,-0.40193304219938700,0.30599895698268900,0.01961442171731680,0.00097717710608820,3.74974048281819000,0.58806653613967300,0.51563961310301100,0.12137757008060300,0.06809824121603130
6,124.46608862134300000,-220.35285707896300000,195.23535228047900000,-98.10793612697990000,0.01420230412136230,2.42120849256005000,2.30537943752425000,2.04851932106564000,1.93352552917547000,0.07689768184783390
7,58.13271507025560000,-147.54240908781200000,130.14306564963900000,-39.61956740841540000,0.01059577633314800,1.70044856413471000,1.55903852601740000,1.41576827473146000,1.27841818205455000,0.05655877984748050
8,29.94740452423620000,-77.61012662552780000,99.88177646231440000,-51.21270055056730000,0.00819618954446032,1.30283987880010000,1.15794105258309000,1.00988549338025000,0.94332797143326600,0.04331976113218250
9,0.94898489450352400,-30.13339230435540000,52.79650781273380000,-22.70627037952720000,0.00656997664531441,1.45882933198645000,0.68877999318768000,0.65423986934669500,0.61483613081199400,0.03428374194950110
10,0.58274119222090700,0.37067656184105400,-0.54674496735080900,0.41405268248020800,0.00519903080863993,1.28118573143877000,0.44452089717047700,0.19865087551048100,0.18547724665627600,0.02757383820338850
11,23.67006039467920000,-21.85317861597420000,0.59249944810894600,-0.02446522903102440,0.00483950221706535,8.45148773514603000,8.04096600474298000,0.62499600052631500,0.13245039494729600,0.02339943620498780
12,4.85501047687149000,-2.66220906476843000,0.47800123608510800,-0.07023070646920640,0.00398905828104019,5.94639273842456000,4.17130312520697000,0.39826980815037400,0.16188618583747400,0.01953450563631030
13,2.83409561607507000,-4.28004133378261000,4.42191680548311000,-0.03457744718964000,0.00352385941406079,6.66235023980533000,0.55129472222402100,0.50932896344597300,0.11178483742533100,0.01676023518052570
14,2.87189142611612000,-2.06173501195173000,2.17114024204478000,-0.06630736330588010,0.00301070709670513,5.08487103642989000,0.42917818530512600,0.36648543419216200,0.11971061129690300,0.01439945361283970
15,2.79151840023151000,-4.36506837823822000,4.43558455516699000,-0.08096357733994730,0.00267900017966440,3.90065961865466000,0.32982596837715000,0.30608995650588800,0.10808323254597200,0.01258944953311860
16,2.67971415610199000,-0.47425282223075500,0.51483594898968700,-0.09583600249907220,0.00248871963818935,3.06889121199971000,0.37821670218580900,0.18872181190254800,0.09233705900314940,0.01119208772411440
17,2.56624839980020000,-0.33887635082859100,1.14584558755515000,-0.92310931654707900,0.00229168002041042,2.41594920365612000,0.42141423931021600,0.10959240497583000,0.09909554582267530,0.00999665948927521
18,2.45981746414068000,-0.36419817707699500,0.25058447722247400,-0.05774370295443450,0.00230143866828583,1.94004631988856000,0.39924106788439800,0.11747240627441200,0.05678037260236210,0.00915579832920708
